state,year,accidents,source_file,source_type,source_name,source_url,source_year,source_granularity
Arunachal Pradesh,2018,13.19845812,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Arunachal Pradesh,2019,10.29736353,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Arunachal Pradesh,2016,81.12782138,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Arunachal Pradesh,2017,65.09047076,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Arunachal Pradesh,2018,54.7918109,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Assam,2016,7435.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Assam,2017,7170.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Assam,2018,8248.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Assam,2019,8350.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Assam,2019,16.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Assam,2016,1.546857186,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Assam,2017,1.542233981,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Assam,2018,1.766000634,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Assam,2019,1.859679912,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Assam,2016,22.91287867,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Assam,2017,21.85309357,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Assam,2018,24.86884158,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Assam,2019,24.91347416,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Assam,2016,26.38967271,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Assam,2017,23.67379687,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Assam,2018,23.9628332,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Assam,2019,21.21164471,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Assam,2016,225.6312212,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Assam,2017,212.2699372,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Assam,2018,240.0402783,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Bihar,2016,8222.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Bihar,2017,8855.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Bihar,2018,9600.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Bihar,2019,10007.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bihar,2019,15.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bihar,2016,1.710593111,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Bihar,2017,1.904669721,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Bihar,2018,2.055480854,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Bihar,2019,2.228720585,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bihar,2016,7.912768988,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Bihar,2017,8.428196147,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Bihar,2018,9.040229019,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Bihar,2019,9.326796716,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bihar,2016,14.99727579,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Bihar,2017,14.17719363,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Bihar,2018,13.03635432,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Bihar,2019,11.69973798,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bihar,2016,398.1907167,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Bihar,2017,422.5746548,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Bihar,2018,330.3839681,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Chhattisgarh,2016,13580.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Chhattisgarh,2017,13563.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Chhattisgarh,2018,13864.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Chhattisgarh,2019,13899.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chhattisgarh,2019,11.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chhattisgarh,2016,2.825328928,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Chhattisgarh,2017,2.91733884,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Chhattisgarh,2018,2.968456933,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Chhattisgarh,2019,3.095531868,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chhattisgarh,2016,52.47497971,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Chhattisgarh,2017,51.79485221,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Chhattisgarh,2018,52.34068257,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Chhattisgarh,2019,51.89679636,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chhattisgarh,2016,28.23019542,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Chhattisgarh,2017,25.87355438,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Chhattisgarh,2018,23.93083258,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Chhattisgarh,2019,21.80144327,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chhattisgarh,2016,1417.399085,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Chhattisgarh,2017,1386.178169,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Chhattisgarh,2018,1351.556864,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Goa,2016,4304.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Goa,2017,3917.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Goa,2018,3709.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
Goa,2019,3440.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Goa,2019,21.0,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Goa,2016,0.895450347,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2016,State/UT
Goa,2017,0.842528661,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2017,State/UT
Goa,2018,0.794143592,RA2019_A2.csv,accident_totals,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2018,State/UT
